,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Time,0.0125,0.5125,1.0125,1.5125,2.0125,2.5125,3.0125,3.5125,4.0125,4.5125,5.0125,5.5125,6.0125,6.5125,7.0125,7.5125,8.0125,8.5125,9.0125,9.5125,10.0125,10.5125,11.0125,11.5125,12.0125,12.5125,13.0125,13.5125,14.0125,14.5125,15.0125,15.5125,16.0125,16.5125,17.0125,17.5125,18.0125,18.5125,19.0125,19.5125,20.0125,20.5125,21.0125,21.5125,22.0125,22.5125,23.0125,23.5125,24.0125,24.5125,25.0125,25.5125,26.0125,26.5125,27.0125,27.5125,28.0125,28.5125,29.0125,29.5125,30.0125,30.5125,31.0125,31.5125,32.0125,32.5125,33.0125,33.5125,34.0125,34.5125,35.0125,35.5125,36.0125,36.5125,37.0125,37.5125,38.0125,38.5125,39.0125,39.5125,40.0125,40.5125,41.0125,41.5125,42.0125,42.5125,43.0125,43.5125,44.0125,44.5125,45.0125,45.5125,46.0125,46.5125,47.0125,47.5125,48.0125,48.5125,49.0125,49.5125,50.0125,50.5125,51.0125,51.5125,52.0125,52.5125,53.0125,53.5125,54.0125,54.5125,55.0125,55.5125,56.0125,56.5125,57.0125,57.5125,58.0125,58.5125,59.0125,59.5125,60.0125,60.5125,61.0125,61.5125,62.0125,62.5125,63.0125,63.5125,64.0125,64.5125,65.0125,65.5125,66.0125,66.5125,67.0125,67.5125,68.0125,68.5125,69.0125,69.5125,70.0125,70.5125,71.0125,71.5125,72.0125,72.5125,73.0125,73.5125,74.0125,74.5125,75.0125,75.5125,76.0125,76.5125,77.0125,77.5125,78.0125,78.5125,79.0125,79.5125,80.0125,80.5125,81.0125,81.5125,82.0125,82.5125,83.0125,83.5125,84.0125,84.5125,85.0125,85.5125,86.0125,86.5125,87.0125,87.5125,88.0125,88.5125,89.0125,89.5125,90.0125,90.5125,91.0125,91.5125,92.0125,92.5125,93.0125,93.5125,94.0125,94.5125,95.0125,95.5125,96.0125,96.5125,97.0125,97.5125,98.0125,98.5125,99.0125,99.5125
Wave elevation,0.1624,0.1932,0.1938,0.1653,0.1129,0.04512,-0.02786,-0.09529,-0.1475,-0.177,-0.18,-0.156,-0.1086,-0.04446,0.02744,0.09716,0.1551,0.1933,0.2063,0.1924,0.153,0.09301,0.02006,-0.05668,-0.1276,-0.1838,-0.2183,-0.227,-0.2089,-0.1661,-0.1042,-0.03039,0.04633,0.117,0.1735,0.2095,0.2214,0.2083,0.1725,0.1186,0.05325,-0.01568,-0.0803,-0.1335,-0.1697,-0.1856,-0.1804,-0.1556,-0.1151,-0.06431,-0.009615,0.04249,0.08615,0.1168,0.1317,0.1302,0.1136,0.08485,0.04845,0.009484,-0.02693,-0.05626,-0.07513,-0.0817,-0.07584,-0.0591,-0.03448,-0.005929,0.02212,0.04541,0.06041,0.06479,0.05774,0.04007,0.01416,-0.01638,-0.04716,-0.0736,-0.09151,-0.09771,-0.09044,-0.06972,-0.03732,0.0033,0.04743,0.08963,0.1244,0.1469,0.1535,0.1424,0.1139,0.07036,0.01609,-0.04311,-0.1007,-0.1499,-0.1848,-0.201,-0.1961,-0.1698,-0.1247,-0.06517,0.002479,0.07102,0.133,0.1818,0.212,0.2205,0.2065,0.1717,0.12,0.05719,-0.009879,-0.07412,-0.129,-0.1691,-0.1912,-0.1939,-0.178,-0.1465,-0.1036,-0.0547,-0.00517,0.04001,0.07689,0.103,0.1173,0.1204,0.114,0.1009,0.08375,0.0654,0.04789,0.03239,0.01911,0.007398,-0.004003,-0.01654,-0.03142,-0.04922,-0.06954,-0.09095,-0.111,-0.1267,-0.1345,-0.1314,-0.1152,-0.08526,-0.04242,0.01045,0.06879,0.1267,0.1777,0.2152,0.234,0.2302,0.2026,0.1524,0.08392,0.003485,-0.08066,-0.1595,-0.2243,-0.2675,-0.2839,-0.2711,-0.2301,-0.165,-0.08273,0.007803,0.09674,0.1744,0.2325,0.2649,0.2687,0.2441,0.1946,0.1265,0.04791,-0.0321,-0.1046,-0.162,-0.1986,-0.2117,-0.2013,-0.17,-0.123,-0.06673,-0.008305,0.04543,0.08879,0.1179,0.1308,0.1281,0.1119,0.08596,0.05479,0.02298,-0.005445,-0.02754
Surge,-8.991e-06,0.001842,-0.007598,-0.04525,-0.09848,-0.1459,-0.1853,-0.2271,-0.2772,-0.3243,-0.3519,-0.3648,-0.3814,-0.4048,-0.4228,-0.4308,-0.4394,-0.4613,-0.4945,-0.5265,-0.5524,-0.5811,-0.6185,-0.6545,-0.6776,-0.6882,-0.6931,-0.6955,-0.6909,-0.6734,-0.6465,-0.6221,-0.6056,-0.5912,-0.5745,-0.5617,-0.56,-0.5683,-0.5776,-0.5809,-0.5817,-0.5861,-0.5897,-0.581,-0.558,-0.5303,-0.5045,-0.4756,-0.437,-0.394,-0.3593,-0.3365,-0.3177,-0.2987,-0.2868,-0.2893,-0.3017,-0.3136,-0.3222,-0.3332,-0.3493,-0.3637,-0.3684,-0.3652,-0.3618,-0.3596,-0.3532,-0.3403,-0.3262,-0.3171,-0.3123,-0.3074,-0.3008,-0.2961,-0.2959,-0.2974,-0.2958,-0.2893,-0.2805,-0.2715,-0.2605,-0.2436,-0.2209,-0.1971,-0.1758,-0.155,-0.1311,-0.1057,-0.08384,-0.0669,-0.04974,-0.02772,-0.002885,0.02054,0.04443,0.07539,0.1151,0.158,0.1998,0.2429,0.2907,0.3397,0.3825,0.4168,0.4458,0.4716,0.4905,0.4993,0.5004,0.5,0.5009,0.5015,0.5018,0.5065,0.52,0.5417,0.5683,0.5986,0.6332,0.6718,0.7105,0.7449,0.7727,0.7944,0.8098,0.8176,0.8165,0.8076,0.7946,0.7808,0.7671,0.7535,0.7422,0.7373,0.7405,0.7494,0.7618,0.7788,0.8019,0.8295,0.857,0.8827,0.9083,0.9351,0.9606,0.9818,0.9994,1.016,1.033,1.047,1.057,1.064,1.07,1.076,1.078,1.077,1.075,1.076,1.078,1.081,1.088,1.1,1.118,1.142,1.169,1.199,1.232,1.265,1.294,1.317,1.333,1.339,1.336,1.323,1.299,1.268,1.232,1.195,1.158,1.124,1.096,1.076,1.065,1.06,1.061,1.068,1.077,1.085,1.088,1.086,1.077,1.062,1.038,1.006,0.9707,0.934,0.8974,0.8623,0.8316,0.8079
Sway,-1.799e-10,-2.458e-05,-0.0005968,-0.001998,-0.002836,-0.003761,-0.003383,-0.003018,-0.007033,-0.01123,-0.01029,-0.009296,-0.01372,-0.02052,-0.02258,-0.0203,-0.02218,-0.02973,-0.03445,-0.03232,-0.03,-0.03441,-0.04066,-0.03975,-0.03431,-0.03345,-0.03784,-0.03907,-0.03266,-0.02598,-0.02616,-0.02773,-0.0224,-0.01289,-0.007868,-0.007673,-0.004514,0.003864,0.01129,0.01381,0.01481,0.01883,0.02443,0.02683,0.02583,0.02512,0.02561,0.0249,0.02166,0.01717,0.01249,0.006931,0.0002614,-0.00675,-0.01461,-0.02435,-0.03471,-0.04357,-0.05213,-0.06332,-0.076,-0.0861,-0.09366,-0.1028,-0.1145,-0.1247,-0.1302,-0.1342,-0.1409,-0.1484,-0.1515,-0.1498,-0.149,-0.1515,-0.1518,-0.1462,-0.1387,-0.1344,-0.1314,-0.1243,-0.113,-0.1031,-0.09661,-0.08945,-0.07848,-0.06681,-0.05851,-0.05241,-0.04493,-0.03627,-0.02977,-0.02658,-0.02467,-0.02274,-0.02211,-0.02419,-0.02858,-0.03428,-0.04131,-0.05001,-0.06019,-0.07181,-0.08512,-0.0995,-0.1138,-0.1284,-0.1443,-0.1614,-0.1776,-0.192,-0.2065,-0.2224,-0.2379,-0.2502,-0.2604,-0.2714,-0.2828,-0.2914,-0.296,-0.2994,-0.3038,-0.3071,-0.3061,-0.3021,-0.2985,-0.2956,-0.2903,-0.2812,-0.2713,-0.263,-0.2546,-0.2438,-0.2315,-0.2203,-0.2107,-0.201,-0.1903,-0.1801,-0.1719,-0.1656,-0.1598,-0.1546,-0.151,-0.1498,-0.1505,-0.1526,-0.1557,-0.1603,-0.167,-0.1755,-0.1851,-0.195,-0.2056,-0.2179,-0.2316,-0.245,-0.2577,-0.2708,-0.2853,-0.3,-0.3131,-0.325,-0.3375,-0.3508,-0.3627,-0.372,-0.3803,-0.3892,-0.3975,-0.4031,-0.4062,-0.4088,-0.4117,-0.413,-0.4116,-0.4088,-0.4063,-0.4037,-0.3994,-0.3934,-0.3871,-0.3814,-0.3755,-0.3684,-0.3606,-0.3532,-0.3463,-0.3395,-0.3323,-0.325,-0.3183,-0.3127,-0.3076,-0.3026,-0.2979,-0.2943,-0.292,-0.2904,-0.2889,-0.2878
Heave,3.019e-06,-8.75e-05,-0.00377,-0.01275,-0.02539,-0.04081,-0.05794,-0.07531,-0.09107,-0.1031,-0.1096,-0.1095,-0.1035,-0.09288,-0.07765,-0.05905,-0.04011,-0.02303,-0.009155,0.0008218,0.00674,0.008508,0.006635,0.002575,-0.001237,-0.002572,-0.000779,0.004767,0.0153,0.03101,0.05068,0.07225,0.09346,0.1124,0.1271,0.1358,0.1363,0.1277,0.1109,0.08736,0.05802,0.02456,-0.0102,-0.04321,-0.07214,-0.0956,-0.1126,-0.1223,-0.1244,-0.1199,-0.1105,-0.09789,-0.08335,-0.06829,-0.05433,-0.04274,-0.03392,-0.02745,-0.0228,-0.01961,-0.01714,-0.0142,-0.009667,-0.002995,0.00573,0.01623,0.02821,0.04111,0.05387,0.06515,0.07391,0.07967,0.08222,0.08129,0.07684,0.06952,0.06049,0.05086,0.04132,0.03236,0.02456,0.01847,0.01409,0.01053,0.00669,0.001893,-0.004323,-0.01279,-0.02448,-0.03956,-0.05717,-0.07618,-0.09557,-0.114,-0.1296,-0.1402,-0.1444,-0.1412,-0.1304,-0.1119,-0.08631,-0.05514,-0.02072,0.01457,0.04849,0.07883,0.1035,0.1207,0.1297,0.1305,0.1238,0.1105,0.0923,0.0713,0.04968,0.02943,0.01212,-0.001118,-0.009556,-0.01295,-0.01177,-0.007126,-0.0002905,0.007493,0.01487,0.02046,0.02314,0.02221,0.01744,0.009002,-0.002775,-0.01743,-0.03413,-0.05169,-0.06903,-0.08544,-0.1002,-0.1122,-0.1207,-0.125,-0.1249,-0.12,-0.1099,-0.0944,-0.07386,-0.04889,-0.0203,0.01097,0.04356,0.0756,0.1051,0.1302,0.1493,0.1608,0.1637,0.1574,0.1422,0.1192,0.09006,0.0568,0.02198,-0.01165,-0.04139,-0.06506,-0.08113,-0.08877,-0.08786,-0.07915,-0.06432,-0.04565,-0.02565,-0.006846,0.008388,0.01805,0.02087,0.01649,0.005437,-0.01104,-0.03112,-0.05248,-0.07254,-0.0888,-0.09931,-0.1027,-0.09825,-0.08586,-0.06635,-0.0413,-0.01276,0.01714,0.04619,0.07227,0.09361,0.109,0.1177,0.1199,0.1158,0.1063,0.09243,0.07556
Pitch,6.417e-10,0.0001077,0.002099,0.006808,0.009767,0.01272,0.01116,0.009478,0.02187,0.03466,0.03011,0.02441,0.0359,0.05473,0.05683,0.04303,0.04144,0.05726,0.06205,0.04198,0.01907,0.01644,0.01799,-0.006348,-0.04818,-0.07693,-0.08999,-0.1153,-0.1678,-0.2229,-0.2566,-0.2863,-0.3394,-0.407,-0.46,-0.4959,-0.5401,-0.6004,-0.656,-0.6925,-0.7206,-0.7553,-0.7917,-0.8137,-0.8197,-0.8218,-0.8232,-0.8164,-0.7966,-0.7679,-0.7342,-0.6938,-0.6467,-0.5951,-0.5377,-0.472,-0.4032,-0.3385,-0.2743,-0.2019,-0.126,-0.06071,-0.006593,0.04924,0.1098,0.1603,0.1901,0.2089,0.2305,0.2488,0.245,0.2183,0.1881,0.1617,0.122,0.05615,-0.02197,-0.09434,-0.1666,-0.2566,-0.3636,-0.4684,-0.5629,-0.66,-0.7693,-0.8797,-0.9763,-1.062,-1.147,-1.232,-1.303,-1.356,-1.398,-1.431,-1.452,-1.455,-1.442,-1.416,-1.377,-1.325,-1.26,-1.184,-1.096,-0.9988,-0.8978,-0.7928,-0.6806,-0.5633,-0.4489,-0.3415,-0.2359,-0.1284,-0.02675,0.05948,0.1326,0.2013,0.2641,0.3093,0.3324,0.3425,0.3468,0.338,0.3059,0.2542,0.1951,0.1302,0.04962,-0.05024,-0.1593,-0.2684,-0.3815,-0.5058,-0.6376,-0.7667,-0.8899,-1.012,-1.135,-1.253,-1.36,-1.455,-1.542,-1.619,-1.683,-1.731,-1.764,-1.783,-1.789,-1.781,-1.757,-1.718,-1.667,-1.608,-1.539,-1.457,-1.366,-1.271,-1.175,-1.074,-0.9665,-0.8574,-0.7539,-0.6555,-0.5571,-0.459,-0.3695,-0.2934,-0.2262,-0.1633,-0.1088,-0.07047,-0.04805,-0.03487,-0.02903,-0.03623,-0.06027,-0.09679,-0.1398,-0.1901,-0.2523,-0.3263,-0.4065,-0.4896,-0.5773,-0.6721,-0.7719,-0.8723,-0.9716,-1.071,-1.171,-1.27,-1.365,-1.453,-1.536,-1.615,-1.687,-1.751,-1.805,-1.85,-1.889,-1.92
Roll,-9.572e-06,0.02259,0.03574,-0.0246,-0.1277,-0.2138,-0.2855,-0.3898,-0.5548,-0.7456,-0.905,-1.043,-1.214,-1.418,-1.605,-1.745,-1.867,-2.008,-2.161,-2.282,-2.361,-2.435,-2.531,-2.627,-2.688,-2.72,-2.749,-2.787,-2.812,-2.795,-2.741,-2.679,-2.62,-2.535,-2.406,-2.251,-2.103,-1.962,-1.808,-1.628,-1.445,-1.292,-1.162,-1.022,-0.8668,-0.7297,-0.6297,-0.5436,-0.4411,-0.3318,-0.2505,-0.2032,-0.1589,-0.1006,-0.05334,-0.04575,-0.06869,-0.09345,-0.1166,-0.1644,-0.2521,-0.3602,-0.4626,-0.5639,-0.6872,-0.8333,-0.9777,-1.106,-1.228,-1.362,-1.501,-1.628,-1.737,-1.841,-1.95,-2.059,-2.153,-2.23,-2.298,-2.366,-2.427,-2.466,-2.478,-2.477,-2.472,-2.452,-2.403,-2.329,-2.25,-2.174,-2.086,-1.977,-1.861,-1.757,-1.664,-1.563,-1.451,-1.344,-1.256,-1.173,-1.077,-0.9741,-0.8811,-0.802,-0.7211,-0.6299,-0.5413,-0.4712,-0.4175,-0.3673,-0.3202,-0.2906,-0.2871,-0.301,-0.3213,-0.3503,-0.3975,-0.4627,-0.5354,-0.6078,-0.6826,-0.7657,-0.8559,-0.9457,-1.03,-1.114,-1.202,-1.295,-1.386,-1.469,-1.55,-1.634,-1.719,-1.794,-1.857,-1.914,-1.971,-2.022,-2.058,-2.08,-2.098,-2.116,-2.126,-2.119,-2.102,-2.085,-2.064,-2.028,-1.974,-1.911,-1.844,-1.766,-1.669,-1.559,-1.444,-1.329,-1.208,-1.082,-0.9583,-0.8453,-0.7431,-0.6479,-0.5599,-0.4839,-0.4221,-0.3706,-0.3247,-0.2832,-0.2479,-0.2198,-0.1971,-0.177,-0.1605,-0.1524,-0.1572,-0.1746,-0.2022,-0.2423,-0.3002,-0.3775,-0.4689,-0.5686,-0.6773,-0.7974,-0.9243,-1.049,-1.166,-1.28,-1.391,-1.493,-1.582,-1.657,-1.726,-1.788,-1.838,-1.874,-1.9,-1.918,-1.927,-1.92
Yaw,1.133e-11,-1.051e-08,-9.824e-07,-5.864e-06,-1.45e-05,-1.904e-05,-3.316e-05,-4.716e-05,8.422e-06,5.176e-05,-7.096e-05,-0.0001943,-6.786e-05,0.0001644,4.468e-05,-0.0004146,-0.0005363,-0.0001924,-0.0001984,-0.0009625,-0.001761,-0.001827,-0.001745,-0.002608,-0.00412,-0.005106,-0.005441,-0.006245,-0.008158,-0.01024,-0.01148,-0.01252,-0.01438,-0.01686,-0.01896,-0.02051,-0.02222,-0.02431,-0.02639,-0.02823,-0.02991,-0.03146,-0.03287,-0.03424,-0.03559,-0.03667,-0.03729,-0.03764,-0.03802,-0.03832,-0.03818,-0.03756,-0.0368,-0.0361,-0.03525,-0.03406,-0.03262,-0.03118,-0.02974,-0.02818,-0.02649,-0.02479,-0.02311,-0.0214,-0.01965,-0.01802,-0.01661,-0.01529,-0.01388,-0.01256,-0.01169,-0.01125,-0.01076,-0.01012,-0.009813,-0.0102,-0.01089,-0.01134,-0.01176,-0.01274,-0.0143,-0.01584,-0.01711,-0.0185,-0.02029,-0.02218,-0.02382,-0.02531,-0.02679,-0.02816,-0.02931,-0.03035,-0.03128,-0.03187,-0.03206,-0.03212,-0.03219,-0.03195,-0.03113,-0.02995,-0.02875,-0.02744,-0.02568,-0.02346,-0.02112,-0.01879,-0.01631,-0.01357,-0.0107,-0.007846,-0.00501,-0.002122,0.0007842,0.003632,0.006413,0.009156,0.01181,0.01429,0.01657,0.01874,0.02081,0.02269,0.02423,0.02551,0.02668,0.02777,0.02857,0.02902,0.02927,0.02949,0.02958,0.0294,0.02901,0.02855,0.02807,0.02751,0.02689,0.02624,0.02558,0.02493,0.02437,0.02395,0.02358,0.02316,0.02284,0.02278,0.02289,0.02296,0.02303,0.02333,0.02391,0.02454,0.02508,0.0257,0.02651,0.0274,0.02817,0.02884,0.02954,0.03028,0.03095,0.03149,0.03198,0.03247,0.03291,0.03329,0.03361,0.0339,0.03417,0.03437,0.0345,0.03459,0.03465,0.03465,0.0346,0.03451,0.03438,0.03421,0.03399,0.03372,0.03339,0.033,0.03254,0.03203,0.03147,0.03085,0.03016,0.02945,0.02873,0.02794,0.02704,0.02607,0.02509,0.02402,0.02274,0.02125,0.01968,0.01803,0.01618,0.01402
T1,2422000.0,2434000.0,2395000.0,2268000.0,2385000.0,2552000.0,2397000.0,2226000.0,2363000.0,2522000.0,2455000.0,2340000.0,2323000.0,2393000.0,2470000.0,2423000.0,2310000.0,2302000.0,2415000.0,2451000.0,2362000.0,2296000.0,2335000.0,2417000.0,2426000.0,2364000.0,2312000.0,2363000.0,2443000.0,2431000.0,2353000.0,2329000.0,2390000.0,2436000.0,2402000.0,2331000.0,2325000.0,2391000.0,2436000.0,2390000.0,2315000.0,2342000.0,2440000.0,2453000.0,2364000.0,2331000.0,2404000.0,2461000.0,2435000.0,2374000.0,2352000.0,2402000.0,2463000.0,2422000.0,2328000.0,2341000.0,2440000.0,2451000.0,2363000.0,2334000.0,2399000.0,2445000.0,2421000.0,2376000.0,2365000.0,2402000.0,2441000.0,2419000.0,2363000.0,2362000.0,2412000.0,2426000.0,2386000.0,2357000.0,2373000.0,2402000.0,2410000.0,2389000.0,2369000.0,2382000.0,2418000.0,2426000.0,2392000.0,2369000.0,2393000.0,2427000.0,2418000.0,2377000.0,2365000.0,2400000.0,2432000.0,2412000.0,2373000.0,2381000.0,2431000.0,2450000.0,2418000.0,2394000.0,2419000.0,2464000.0,2468000.0,2425000.0,2403000.0,2441000.0,2476000.0,2446000.0,2398000.0,2408000.0,2452000.0,2458000.0,2425000.0,2410000.0,2435000.0,2468000.0,2468000.0,2441000.0,2434000.0,2460000.0,2478000.0,2464000.0,2443000.0,2441000.0,2455000.0,2464000.0,2453000.0,2428000.0,2424000.0,2447000.0,2457000.0,2437000.0,2423000.0,2437000.0,2456000.0,2458000.0,2446000.0,2435000.0,2441000.0,2462000.0,2465000.0,2439000.0,2427000.0,2452000.0,2472000.0,2455000.0,2434000.0,2445000.0,2470000.0,2474000.0,2458000.0,2447000.0,2458000.0,2479000.0,2479000.0,2452000.0,2443000.0,2466000.0,2480000.0,2464000.0,2450000.0,2461000.0,2479000.0,2483000.0,2478000.0,2476000.0,2481000.0,2493000.0,2498000.0,2488000.0,2478000.0,2480000.0,2487000.0,2482000.0,2466000.0,2455000.0,2461000.0,2472000.0,2469000.0,2454000.0,2454000.0,2471000.0,2483000.0,2477000.0,2468000.0,2471000.0,2484000.0,2489000.0,2475000.0,2461000.0,2466000.0,2477000.0,2469000.0,2447000.0,2440000.0,2454000.0,2462000.0,2449000.0,2439000.0,2451000.0,2466000.0,2464000.0
T2,2430000.0,2439000.0,2457000.0,2497000.0,2449000.0,2369000.0,2449000.0,2552000.0,2491000.0,2374000.0,2412000.0,2541000.0,2537000.0,2412000.0,2380000.0,2485000.0,2540000.0,2470000.0,2404000.0,2424000.0,2494000.0,2519000.0,2459000.0,2396000.0,2446000.0,2538000.0,2504000.0,2409000.0,2430000.0,2513000.0,2500000.0,2433000.0,2433000.0,2460000.0,2464000.0,2461000.0,2450000.0,2429000.0,2437000.0,2466000.0,2465000.0,2448000.0,2439000.0,2454000.0,2465000.0,2468000.0,2459000.0,2444000.0,2446000.0,2470000.0,2478000.0,2441000.0,2414000.0,2446000.0,2488000.0,2466000.0,2412000.0,2420000.0,2485000.0,2500000.0,2444000.0,2414000.0,2457000.0,2499000.0,2477000.0,2430000.0,2433000.0,2479000.0,2492000.0,2447000.0,2417000.0,2450000.0,2489000.0,2466000.0,2423000.0,2434000.0,2476000.0,2477000.0,2446000.0,2440000.0,2458000.0,2463000.0,2450000.0,2442000.0,2442000.0,2444000.0,2443000.0,2438000.0,2433000.0,2436000.0,2440000.0,2437000.0,2437000.0,2446000.0,2447000.0,2436000.0,2439000.0,2459000.0,2455000.0,2428000.0,2424000.0,2450000.0,2457000.0,2427000.0,2408000.0,2430000.0,2452000.0,2430000.0,2406000.0,2422000.0,2450000.0,2448000.0,2425000.0,2420000.0,2443000.0,2462000.0,2447000.0,2422000.0,2427000.0,2455000.0,2459000.0,2428000.0,2413000.0,2436000.0,2452000.0,2433000.0,2415000.0,2423000.0,2436000.0,2436000.0,2424000.0,2417000.0,2422000.0,2433000.0,2431000.0,2419000.0,2416000.0,2425000.0,2431000.0,2427000.0,2423000.0,2425000.0,2428000.0,2428000.0,2430000.0,2427000.0,2419000.0,2418000.0,2424000.0,2421000.0,2408000.0,2404000.0,2412000.0,2415000.0,2406000.0,2399000.0,2409000.0,2420000.0,2417000.0,2412000.0,2417000.0,2427000.0,2431000.0,2428000.0,2424000.0,2424000.0,2428000.0,2426000.0,2418000.0,2412000.0,2414000.0,2417000.0,2411000.0,2405000.0,2409000.0,2416000.0,2416000.0,2416000.0,2418000.0,2421000.0,2425000.0,2428000.0,2429000.0,2426000.0,2423000.0,2425000.0,2428000.0,2423000.0,2414000.0,2412000.0,2419000.0,2420000.0,2411000.0,2405000.0,2411000.0,2421000.0,2417000.0,2405000.0,2406000.0,2420000.0
